Protein_key,DegreeCentrality,EigenvectorCentrality,BetweennessCentrality,ClosenessCentrality,Clustering
6239.C40A11.4.1,0.008108546407913942,0.00040246057763587814,2.43032797354853e-05,0.42310065422607457,0.4008053691275168
6239.M60.4a.1,0.005730039461592519,0.0004254901397708212,2.4039789139972482e-05,0.4164862664957016,0.17178796046720576
6239.T06F4.1b.1,0.0024325639223741827,0.00015955266994270787,4.2891231974223326e-07,0.38365899308872947,0.6222222222222222
6239.ZC410.3a.1,0.035839775122979624,0.004023955651068925,5.28200722934342e-05,0.4522900463214708,0.37929761725745376
6239.F13D11.2a.1,0.054489431861181686,0.010810080146510909,0.00013770394147330408,0.47884274848163627,0.23553774373039518
6239.T08A11.1.1,0.013622357965295422,0.00198472016552764,6.82650205269876e-06,0.4445356289330751,0.19193068993865806
6239.C16H3.1.1,0.07146332234174821,0.016551449986130447,7.6113133209537e-05,0.48749065130886066,0.3428441525869207
6239.B0563.7.1,0.10589761608735608,0.02205531299779933,0.00016645658342998438,0.501624280372122,0.26829264477456916
6239.F46F11.4.1,0.033731553056922,0.0042876384056998295,0.00015607166514951322,0.46680975416818404,0.20375457875457875
6239.K10H10.6.1,0.053354235364073736,0.009192077822255828,3.689266293595338e-05,0.4780593504045005,0.23278071316567714
6239.C34B2.3.1,0.06524677009568085,0.01608172411473685,4.910215393561856e-06,0.44831379746673417,0.7451433800343766
6239.T26E3.3a.1,0.03443429374560787,0.005206259642500278,8.882206853141791e-05,0.4692131688172632,0.19791080437980707
6239.CC4.3.2,0.027244715930590843,0.003983232567072128,1.9631787428869886e-05,0.456111331864337,0.2669775000788917
6239.K07F5.16a.1,0.00837883128817774,0.0013799221676745778,2.8527082486921636e-06,0.43056201387820436,0.28135735232509423
6239.F54H12.5.1,0.0015135953294772692,0.000289745023247974,3.140573385890515e-07,0.3698390683336649,0.46825396825396826
6239.R12E2.11.2,0.07703119087518244,0.01253950675155682,0.00013273268640138713,0.4892396477457347,0.22408929627439386
6239.Y50E8A.6.1,0.06649008054489432,0.013414045810921683,0.0006753858935801474,0.4705925372677345,0.3639894950617529
6239.Y73C8C.8.1,0.025677063625060816,0.002539421559873243,8.45383968577649e-05,0.4562130616915272,0.32
6239.T27E4.2.1,0.01805503000162171,0.0019950996612440566,4.681223525988106e-05,0.45777862101199845,0.16331301361241482
6239.C24A8.4.1,0.013352073085031623,0.0021003584368283657,6.8083900796471205e-06,0.44340068079812384,0.26184128238043514
6239.C18H9.3d.1,0.024271582247689064,0.0031049277316932806,5.2397480115026234e-05,0.4583713327368285,0.17732858733693924
6239.Y71H2B.11.1,0.04032650413535867,0.00607316196284199,2.383941731159165e-05,0.46118469487628094,0.3564783993378556
6239.F13C5.5.1,0.0009189685928969134,5.035042969966182e-05,4.937775997321158e-07,0.3547376330162155,0.5
6239.Y71A12B.11.1,0.018649656738202066,0.000643918210983352,2.372266746779093e-05,0.423022874796096,0.5204415234243344
6239.F29B9.9a.1,0.028379912427698797,0.0047670592187260274,2.1189499614640664e-05,0.45370571695321027,0.41423482370047254
6239.C35B8.4.1,0.004757013892642846,0.0005472923886878028,2.2045481763240855e-06,0.41137674782964256,0.24007314524555903
6239.F08F1.5.1,0.018595599762149306,0.00161196121685844,3.866192178150711e-05,0.45040882426542633,0.14526408570072546
6239.C31B8.8.1,0.019082112546624144,0.0018226464944825676,3.817801361748471e-05,0.45345984839708614,0.1491276075199588
6239.M151.2.1,0.0930320557867993,0.020078993156171423,0.00016445192948827823,0.4985540816621938,0.22864073078118455
6239.C06G3.5a.1,0.04616465754905671,0.006763944692701772,7.789650618973515e-05,0.47282861933981885,0.20817008986055552
6239.Y119C1B.10a.1,0.00021622790421103844,3.912287940670717e-06,0.0,0.31873934249907376,0.8333333333333334
6239.F39H2.1.1,0.010054597545813287,0.0003901089123952662,6.39690251641332e-05,0.416175554220204,0.25207788433594885
6239.F22B3.1.1,0.06843613168279367,0.012377444443666867,7.781403665658472e-05,0.48922664608085537,0.2871588333364554
6239.F38E1.3.1,0.06497648521541705,0.015982853973182172,1.154454564729782e-05,0.4514249501073199,0.7410505111519657
6239.F55B11.3.2,0.009081571976863614,0.0005563073101246427,1.6282892400756852e-05,0.41658994037964486,0.44938694040490446
6239.F23H11.2.1,0.09049137791231959,0.010329371337141114,0.0007354862549901034,0.49711356300973497,0.2309667707157247
6239.B0228.9.1,0.00021622790421103844,3.367015503644934e-05,1.1293219311825312e-08,0.33858324226842446,0.16666666666666666
6239.Y48A6B.11b.1,0.010541110330288124,0.0014951022905097774,1.2366084395872307e-06,0.43133881921733186,0.4120539254559873
6239.K08H10.9.1,0.019730796259257256,0.002023196884601185,2.1588568858188423e-05,0.4446752207873742,0.17255757940689448
6239.C26E6.1.1,0.021190334612681768,0.005059670664813917,3.985674533287759e-06,0.42247921846460057,0.6691111227099535
6239.F52C9.5.1,0.0011351964971079518,4.346339677240083e-05,3.138543635508038e-06,0.3612887990221868,0.34285714285714286
6239.C14A4.6.1,0.0014054813773717498,9.142234859380117e-05,1.4462341807465601e-06,0.3691715691127523,0.28
6239.F42G4.6.1,0.025406778744797017,0.007252183688089356,1.3733125073109527e-07,0.4205393367304741,0.9854284806968199
6239.B0496.3e.1,0.026920374074274285,0.003562118800139377,4.3556380569441094e-05,0.4581317837238759,0.2555251185829838
6239.F53F8.2.1,0.000270284880263798,6.3606894459389585e-06,1.5102642939087427e-08,0.3301845511600335,0.3
6239.C01H6.6.1,0.010378939402129845,0.0015608338067522435,2.937435348200662e-06,0.4321894463053529,0.27846858638743455
6239.R07B1.10.2,0.01524406724687821,0.0010267625007373536,2.6918319350769494e-05,0.4421015721752283,0.261805608137099
6239.D2092.1b.1,0.013622357965295422,0.0015540290275130849,1.3337222304660043e-05,0.4470183445528752,0.15129956365016126
6239.T21B10.7.2,0.0981134115357587,0.017429858779726044,0.0007438407288832679,0.4906086790868669,0.2531798895034337
6239.T09B9.4.1,0.008703173144494297,0.001711308969491593,1.2069584448404168e-05,0.4312680847438623,0.19402173913043477
6239.Y48B6A.1.1,0.04865127844748365,0.008069167364337406,2.8495723573873314e-05,0.4693327928150241,0.38408602150537635
6239.F52E1.7a.2,0.03259635655981404,0.004029941323004188,0.00012780834777963306,0.4704482243074929,0.2221450885109337
6239.F35G2.1a.2,0.00691929293475323,0.0006852095339541458,2.070395888456994e-06,0.43253470231847246,0.12007874015748031
6239.F36H2.3h.1,0.025244607816638738,0.005249335283100195,7.550277985593565e-06,0.4622268678378112,0.27119500785766143
6239.D1081.5.1,0.06524677009568085,0.01584723765704398,1.9041861652947475e-05,0.4535045319482794,0.7391954890007296
6239.K08E3.10.1,0.07730147575544624,0.018170869369262484,0.00011994164030608704,0.48913565377235907,0.3281819649909223
6239.C36E6.5.1,0.09443753716417104,0.019596613582882467,0.0002720256012726688,0.49636296013202397,0.26974010757108735
6239.F45G2.4.2,0.034812692577977186,0.005518371965288093,3.861792545099673e-05,0.4591487371022224,0.2159423509751456
6239.Y42H9AR.3b.1,0.01821720092977999,0.0019863488038746498,1.561905069432913e-05,0.44757262078180704,0.19900734774622014
6239.C34F6.10.1,0.06551705497594465,0.010482233704251158,0.00018864203141769466,0.48493518427312854,0.1446694628174626
6239.F23D12.8.1,0.0035677604194821345,0.00010235482387403435,0.0,0.3467463311178261,1.0
6239.C28H8.8.1,0.02102816368452349,0.002110030158713032,0.0001295556410731443,0.44159253179275826,0.8785280788699547
