Protein_key,DegreeCentrality,EigenvectorCentrality,BetweennessCentrality,ClosenessCentrality,Clustering
6183.A0A3Q0KVG7,0.004228687415426252,0.0003114928416966479,2.6202584859290255e-06,0.4406807769736187,0.28
6183.A0A3Q0KCT6,0.014715832205683357,0.0006049179261467573,2.5091514952659725e-05,0.463425816679464,0.18570194671450402
6183.A0A5K4FG94,0.0029600811907983765,0.00011476232597897277,8.682588178212574e-07,0.3968355901950561,0.19327731092436976
6183.A0A3Q0KT84,0.08719553450608931,0.011661357996719475,4.823290495058483e-05,0.5094291289679344,0.3973406910059985
6183.G4LY23,0.14225304465493913,0.014233768222468931,0.00029037830864224115,0.5267835098934822,0.28502582900020584
6183.G4VGH8,0.02452638700947226,0.0019671507050398373,5.232347907905405e-06,0.48387332994851645,0.20730223123732253
6183.A0A3Q0KPP0,0.022073748308525036,0.0013548015012906439,2.201134649731973e-05,0.4646599487879549,0.33530798703212494
6183.A0A5K4F915,0.008964817320703655,0.0010153153848669067,1.781084278333647e-06,0.44807894409950777,0.30943396226415093
6183.G4VSH5,0.08102165087956699,0.009873075557966786,3.747759906237795e-05,0.5083878952622812,0.34174732713354844
6183.A0A5K4F1J4,0.00904939106901218,0.0007467222482925147,2.318910194993835e-06,0.4498376039539848,0.32868982542761416
6183.G4VD90,0.015223274695534507,0.0012173229222316709,1.5411951088926157e-05,0.47433172326365974,0.21471135940409683
6183.A0A3Q0KQW9,0.03053112313937754,0.0015412685988957688,6.145549439261288e-05,0.4836731341148596,0.17129886118805787
6183.G4V7R6,0.07865358592692828,0.012053078037889997,9.930646674671104e-05,0.50216407437956,0.5193027535678322
6183.A0A5K4EZE1,0.03239174560216509,0.0025978398478023997,2.9272941054374878e-05,0.4781928110425065,0.2765300124396812
6183.A0A5K4EVH0,0.0071887686062246286,0.0006873526209452986,9.64323666092073e-07,0.43859757077947614,0.3126050420168067
6183.A0A5K4EE00,0.08288227334235454,0.006544819691677252,6.866194631386596e-05,0.5013672278404665,0.42086260449021284
6183.C4Q8R4,0.03298376184032477,0.004141447471843638,2.270703837003031e-05,0.48281417633321594,0.4046140663107244
6183.A0A5K4FFD7,0.0016069012178619758,9.352564074269468e-05,8.315090676186579e-08,0.39935707483196653,0.23391812865497075
6183.A0A3Q0KCY9,0.024103518267929638,0.002750081320652466,5.326119994468921e-06,0.47249129623943725,0.4748702742772424
6183.A0A5K4EFF3,8.457374830852504e-05,6.22993989604184e-07,0.0,0.3081849485027854,0.0
6183.A0A3Q0KMW5,0.013108930987821382,0.00182738860639411,1.6855540795869383e-06,0.4577820280986865,0.555425219941349
6183.A0A5K4EWF7,0.08584235453315292,0.012214101309401816,3.920903051903571e-05,0.5058142805276981,0.4298850574712644
6183.B9UJC8,0.07958389715832206,0.00779037939559279,0.00029606955509693005,0.5050930936079566,0.22265584371537747
