Protein_key,DegreeCentrality,EigenvectorCentrality,BetweennessCentrality,ClosenessCentrality,Clustering
7227.FBpp0309502,0.046479080730701235,0.006209921881600457,0.0003021239421261175,0.4944034970722839,0.14387844942520062
7227.FBpp0110135,0.04500589275191514,0.009454050362245536,6.686545694772752e-05,0.4931448781394891,0.2117732285154678
7227.FBpp0073031,0.07793164407778433,0.010384592272071147,0.00032807941466850846,0.5105231246640388,0.1802744508211527
7227.FBpp0085939,0.0024307601649970535,4.475902623390556e-05,8.388248611979324e-06,0.3490977708776751,0.4602272727272727
7227.FBpp0084069,0.02592810842663524,0.002225144731248728,0.00011783805911110306,0.48452814672341643,0.172008547008547
7227.FBpp0071657,0.023276370064820272,0.0012038870379111597,0.00014989761986929906,0.47045778420711,0.41287924452481417
7227.FBpp0423273,0.03535651149086624,0.004802910100518382,0.00029876692811996885,0.49050478257194907,0.12720946416144746
7227.FBpp0077720,0.041985857395403656,0.007696923666472192,0.00010488297262277724,0.4901147473235816,0.2808189190022508
7227.FBpp0083680,0.013553329404832056,0.0014247595497647884,4.407363839051233e-05,0.47127531763116576,0.14094796863863152
7227.FBpp0289548,0.0030936947554507954,0.00017327657322358122,1.9400924166286444e-06,0.39666534193949193,0.3681765389082462
7227.FBpp0072101,0.02025633470830878,0.0015336869981243245,4.3145076659873356e-05,0.4747235931312678,0.0950763105507631
7227.FBpp0074353,0.024675898644667058,0.0020621080617693045,4.374385825420249e-05,0.48343986288999724,0.18046295468763965
7227.FBpp0310557,0.0020624631703005302,8.465127919462558e-05,1.7456443780871526e-06,0.37878166189562645,0.42328042328042326
7227.FBpp0310745,0.009281084266352387,0.0012155576517302695,1.3554899189779634e-05,0.45398254759789525,0.11834920634920634
7227.FBpp0311940,0.002725397760754272,6.446324845835932e-05,6.880951859033338e-06,0.3660908400162401,0.2987987987987988
7227.FBpp0085661,0.01863582793164408,0.0023136715074684087,0.00022320132140732287,0.47319949449335336,0.22316331011983187
7227.FBpp0082672,0.04404832056570418,0.004191583020861052,0.00018374580252335655,0.49510751840957834,0.1310062015764441
