Locus,Sequence_Length,Aromaticity,Sec_Struct_Helix,Sec_Struct_Turn,Sec_Struct_Sheet_x,Percent_A,Percent_C_x,Percent_D,Percent_E,Percent_F,Percent_G,Percent_H,Percent_I,Percent_K,Percent_L,Percent_M,Percent_N,Percent_P,Percent_Q,Percent_R,Percent_S,Percent_T,Percent_V,Percent_W,Percent_Y,IsoelectricPoint,Tiny_Number,Small_Number,Aliphatic_Number,Aromatic_Number,Non-polar_Number,Polar_Number,Charged_Number,Basic_Number,Acidic_Number,predict_xgboost,predict_rfc,Local Average Connectivity_y,Density of Maximum neighborhood Component_y,Topology Potential_y,Edge Clustering Coefficient_y,DegreeCentrality_y,EigenvectorCentrality_y,BetweennessCentrality_y,ClosenessCentrality_y,Clustering_y,predict_rfc_over,predict_rfc_under
6183.A0A3Q0KBG1,639,0.0704225352112676,0.3051643192488262,0.4021909233176838,0.2926447574334898,0.0234741784037558,0.0140845070422535,0.0594679186228482,0.0516431924882629,0.0375586854460093,0.0782472613458529,0.0312989045383411,0.0782472613458529,0.0422535211267605,0.0970266040688575,0.0172143974960876,0.081377151799687,0.0375586854460093,0.0422535211267605,0.0735524256651017,0.1032863849765258,0.0610328638497652,0.0375586854460093,0.0046948356807511,0.028169014084507,8.0839,179,317,151,65,290,349,165,94,71,1,1,0.2856621451030159,0.39822298913208,229.44305492797827,0.3993153996378584,0.0308694181326116,0.0027834969410063,1.4702236231890538e-05,0.4757408396026597,0.3960409453560138,1,1
6183.A0A3Q0KBH1,294,0.0986394557823129,0.282312925170068,0.3809523809523809,0.336734693877551,0.0680272108843537,0.0238095238095238,0.0714285714285714,0.0442176870748299,0.0442176870748299,0.0714285714285714,0.0340136054421768,0.064625850340136,0.0680272108843537,0.0748299319727891,0.0204081632653061,0.0442176870748299,0.0408163265306122,0.0374149659863945,0.0374149659863945,0.0850340136054421,0.0578231292517006,0.0578231292517006,0.0170068027210884,0.0374149659863945,6.8137,90,153,78,39,153,141,75,41,34,1,1,0.2302428556821307,0.2933972840654599,395.1033554688893,0.3599576970064924,0.0729871447902571,0.0044670688733874,0.0001395148582907,0.5036785718033675,0.2933972840654599,1,1
6183.A0A3Q0KBJ2,392,0.0739795918367346,0.3010204081632653,0.3622448979591836,0.336734693877551,0.0714285714285714,0.0204081632653061,0.0714285714285714,0.0561224489795918,0.0306122448979591,0.0943877551020408,0.0306122448979591,0.0612244897959183,0.0688775510204081,0.086734693877551,0.0076530612244897,0.0306122448979591,0.0382653061224489,0.0306122448979591,0.048469387755102,0.0586734693877551,0.0586734693877551,0.0918367346938775,0.010204081632653,0.0331632653061224,6.7653,119,210,122,41,214,178,108,58,50,1,1,0.2826949122448021,0.2442096411841898,607.7374011832326,0.4148547662809754,0.1298207036535859,0.0106283035875313,0.0004870422374966,0.5227554286793434,0.2442096411841898,1,1
6183.A0A3Q0KBJ6,937,0.0522945570971184,0.3351120597652081,0.3703308431163287,0.2945570971184632,0.0597652081109925,0.016008537886873,0.0565635005336179,0.0651013874066168,0.0202774813233724,0.0618996798292422,0.0341515474919957,0.0544290288153681,0.0437566702241195,0.0821771611526147,0.0170757737459978,0.0789754535752401,0.0373532550693703,0.0426894343649946,0.0683030949839914,0.0917822838847385,0.071504802561366,0.0661686232657417,0.0042689434364994,0.0277481323372465,6.8803,282,506,246,81,419,518,251,137,114,1,1,0.2717894753240856,0.2819045159147829,329.3265321138145,0.3442672270285177,0.055734100135318,0.0050462728984006,0.0001093942385039,0.4958172725233759,0.2819045159147829,1,1
6183.A0A3Q0KBK3,691,0.065123010130246,0.316931982633864,0.4298118668596237,0.2532561505065123,0.0376266280752532,0.0289435600578871,0.0665701881331403,0.0607814761215629,0.0434153400868306,0.0506512301013024,0.0347322720694645,0.0217076700434153,0.0492040520984081,0.0665701881331403,0.0347322720694645,0.0463096960926193,0.1114327062228654,0.0347322720694645,0.0824891461649783,0.1056439942112879,0.0607814761215629,0.0419681620839363,0.0014471780028943,0.0202604920405209,7.8064,196,380,116,69,317,374,203,115,88,1,1,0.2777683496630011,0.2566833807652346,266.7953506125861,0.2774394991329099,0.0398342354533152,0.0036426645661304,0.0001070417029108,0.4852189287990768,0.2566833807652346,1,1
6183.A0A3Q0KBL5,230,0.0956521739130434,0.3347826086956521,0.3434782608695652,0.3217391304347826,0.0304347826086956,0.008695652173913,0.0304347826086956,0.0913043478260869,0.0260869565217391,0.0652173913043478,0.0260869565217391,0.0826086956521739,0.0565217391304347,0.117391304347826,0.0130434782608695,0.0391304347826087,0.0434782608695652,0.0434782608695652,0.0391304347826087,0.108695652173913,0.0391304347826087,0.0695652173913043,0.0130434782608695,0.0565217391304347,5.633,58,100,69,28,121,109,56,28,28,1,1,0.2772931868054686,0.2555708311851979,287.7919483725241,0.2771229037456671,0.0447395128552097,0.0035258112719046,8.976013666930926e-05,0.4916675632567673,0.2555708311851979,1,1
6183.A0A3Q0KBM9,518,0.1003861003861003,0.4382239382239382,0.2972972972972972,0.2644787644787644,0.0791505791505791,0.0096525096525096,0.0598455598455598,0.1196911196911196,0.0347490347490347,0.0637065637065637,0.0289575289575289,0.0424710424710424,0.0694980694980695,0.1119691119691119,0.0154440154440154,0.0328185328185328,0.0366795366795366,0.0308880308880308,0.081081081081081,0.0347490347490347,0.0501930501930501,0.0328185328185328,0.0193050193050193,0.0463320463320463,5.6923,123,207,138,67,255,263,186,93,93,1,1,0.2661526073679006,0.3301040775226372,400.9016946728713,0.4210821791899846,0.0747631935047361,0.0060199486456786,0.0001248815596346,0.5025526460130753,0.3301040775226372,1,1
6183.A0A3Q0KBN9,337,0.0949554896142433,0.3590504451038575,0.3412462908011869,0.2997032640949555,0.0563798219584569,0.0207715133531157,0.0741839762611275,0.0534124629080118,0.0445103857566765,0.0474777448071216,0.0267062314540059,0.0652818991097922,0.0445103857566765,0.1275964391691394,0.0237388724035608,0.0504451038575667,0.0474777448071216,0.0326409495548961,0.0652818991097922,0.0771513353115727,0.0356083086053412,0.0563798219584569,0.0059347181008902,0.0445103857566765,6.2328,80,157,103,41,182,155,89,46,43,1,1,0.3277670496211195,0.3024499768870105,374.487195276096,0.3236197711740717,0.06765899864682,0.0068099932698832,7.565607908087657e-05,0.5006372168881914,0.3009386733416771,1,1
6183.A0A3Q0KBP0,239,0.0502092050209205,0.3723849372384937,0.3640167364016736,0.2635983263598326,0.0711297071129707,0.00836820083682,0.0794979079497908,0.104602510460251,0.0292887029288702,0.0376569037656903,0.0167364016736401,0.0543933054393305,0.0920502092050209,0.104602510460251,0.0209205020920502,0.0167364016736401,0.0292887029288702,0.0292887029288702,0.0418410041841004,0.1087866108786611,0.0460251046025104,0.0878661087866108,0.00836820083682,0.0125523012552301,4.6751,65,116,76,16,111,128,80,36,44,1,1,0.344930914765143,0.40107574037767,401.3115761836109,0.430180001887702,0.0745094722598105,0.0077069752292715,5.523662705963473e-05,0.5052240654979108,0.40107574037767,1,1
6183.A0A3Q0KBQ4,598,0.0652173913043478,0.3612040133779264,0.3779264214046823,0.2608695652173913,0.0719063545150501,0.0066889632107023,0.0802675585284281,0.0852842809364548,0.0317725752508361,0.0468227424749163,0.0301003344481605,0.0518394648829431,0.0735785953177257,0.0635451505016722,0.0167224080267558,0.0535117056856187,0.040133779264214,0.040133779264214,0.0836120401337792,0.0836120401337792,0.0618729096989966,0.0451505016722408,0.0016722408026755,0.0317725752508361,6.8934,162,293,139,57,244,354,211,112,99,1,1,0.2825636314084463,0.4143333863022406,254.6335127553945,0.437122316079813,0.0367895805142083,0.0030071965286574,6.71571906582527e-05,0.4828341174440838,0.4143333863022406,1,1
6183.A0A3Q0KBS3,148,0.0878378378378378,0.4121621621621621,0.3175675675675675,0.2702702702702703,0.0675675675675675,0.0337837837837837,0.027027027027027,0.0608108108108108,0.0472972972972973,0.0472972972972973,0.0135135135135135,0.0472972972972973,0.0675675675675675,0.1081081081081081,0.0472972972972973,0.0608108108108108,0.0472972972972973,0.0405405405405405,0.0878378378378378,0.0675675675675675,0.0337837837837837,0.054054054054054,0.0135135135135135,0.027027027027027,10.1678,37,65,41,15,80,68,38,25,13,1,1,0.2875385289540991,0.2866748990716452,535.6493515823041,0.3932547674364341,0.1109607577807848,0.0098999871303038,0.0001984667022913,0.5132537055607042,0.2866748990716452,1,1
6183.A0A3Q0KBT4,481,0.0623700623700623,0.3555093555093555,0.3555093555093555,0.288981288981289,0.0561330561330561,0.0187110187110187,0.0602910602910602,0.0686070686070686,0.0353430353430353,0.0498960498960499,0.0145530145530145,0.0436590436590436,0.0831600831600831,0.0997920997920998,0.0291060291060291,0.0561330561330561,0.0457380457380457,0.027027027027027,0.0748440748440748,0.0602910602910602,0.0582120582120582,0.0914760914760914,0.0041580041580041,0.0228690228690228,9.5651,117,239,140,37,239,242,145,83,62,1,1,0.2726146654649917,0.4206648793088883,419.4001907299171,0.5078578722391656,0.0802604871447902,0.0060321636751772,4.464485002321816e-05,0.5003372416672869,0.4206648793088883,1,1
